"","ETH.group","births","year"
"1","BAN",12971.3115502505,"2011"
"2","BLA",21226.2366749478,"2011"
"3","BLC",6479.40391422018,"2011"
"4","CHI",4440.71728081743,"2011"
"5","IND",26853.3685569371,"2011"
"6","MIX",36887.4011674008,"2011"
"7","OAS",13711.8608232431,"2011"
"8","OBL",3833.46988485662,"2011"
"9","OTH",4704.44818766224,"2011"
"10","PAK",33369.6984680807,"2011"
"11","WBI",505521.092167642,"2011"
"12","WHO",29791.4870829427,"2011"
"13","BAN",12823.3631127914,"2012"
"14","BLA",21078.4391380278,"2012"
"15","BLC",6270.83147780405,"2012"
"16","CHI",4788.07568924411,"2012"
"17","IND",26808.3474939653,"2012"
"18","MIX",36833.4668678176,"2012"
"19","OAS",13623.3611891984,"2012"
"20","OBL",3782.84122917566,"2012"
"21","OTH",4739.00626571068,"2012"
"22","PAK",33184.5165534991,"2012"
"23","WBI",494387.496180905,"2012"
"24","WHO",30027.5109440559,"2012"
"25","BAN",12625.9083623415,"2013"
"26","BLA",20862.0676724144,"2013"
"27","BLC",6042.07695484069,"2013"
"28","CHI",5151.97218755494,"2013"
"29","IND",26643.7013782547,"2013"
"30","MIX",36646.400767671,"2013"
"31","OAS",13507.2130362917,"2013"
"32","OBL",3722.77017814486,"2013"
"33","OTH",4760.29681274424,"2013"
"34","PAK",32895.0279633585,"2013"
"35","WBI",481079.8272576,"2013"
"36","WHO",30152.7393996335,"2013"
"37","BAN",12821.7598770158,"2014"
"38","BLA",21327.3124962909,"2014"
"39","BLC",6006.01422774917,"2014"
"40","CHI",5625.56908107473,"2014"
"41","IND",27102.2400736056,"2014"
"42","MIX",37412.3748990818,"2014"
"43","OAS",13795.639230324,"2014"
"44","OBL",3783.30559546083,"2014"
"45","OTH",4906.382562536,"2014"
"46","PAK",33499.4678370783,"2014"
"47","WBI",479632.024118808,"2014"
"48","WHO",31067.8298867905,"2014"
"49","BAN",13161.2729817206,"2015"
"50","BLA",22030.9386440625,"2015"
"51","BLC",6042.85717107229,"2015"
"52","CHI",6077.26964553179,"2015"
"53","IND",27597.4322175289,"2015"
"54","MIX",38378.1217418113,"2015"
"55","OAS",14192.3644131252,"2015"
"56","OBL",3889.1340141925,"2015"
"57","OTH",5072.3274185459,"2015"
"58","PAK",34324.2841205397,"2015"
"59","WBI",480751.07771649,"2015"
"60","WHO",32099.1985563501,"2015"
"61","BAN",13552.235086621,"2016"
"62","BLA",22797.8757008204,"2016"
"63","BLC",6102.47463566647,"2016"
"64","CHI",6526.72780130075,"2016"
"65","IND",28126.314593584,"2016"
"66","MIX",39445.978872091,"2016"
"67","OAS",14638.3128695062,"2016"
"68","OBL",4013.86274851067,"2016"
"69","OTH",5251.06339652991,"2016"
"70","PAK",35283.559835404,"2016"
"71","WBI",483167.540028602,"2016"
"72","WHO",33180.1742922567,"2016"
"73","BAN",13945.4553321029,"2017"
"74","BLA",23552.1014362872,"2017"
"75","BLC",6160.35160198922,"2017"
"76","CHI",6943.39036363011,"2017"
"77","IND",28595.5330499366,"2017"
"78","MIX",40461.2546199066,"2017"
"79","OAS",15082.2684995572,"2017"
"80","OBL",4142.63088500717,"2017"
"81","OTH",5423.69337730157,"2017"
"82","PAK",36254.908951733,"2017"
"83","WBI",484843.324036404,"2017"
"84","WHO",34180.0191114056,"2017"
"85","BAN",14329.6453792317,"2018"
"86","BLA",24279.4072595674,"2018"
"87","BLC",6212.66879407506,"2018"
"88","CHI",7314.18371277822,"2018"
"89","IND",28992.1760653373,"2018"
"90","MIX",41394.5869207869,"2018"
"91","OAS",15512.0011893409,"2018"
"92","OBL",4272.1769715128,"2018"
"93","OTH",5587.03306251485,"2018"
"94","PAK",37216.3119679812,"2018"
"95","WBI",485472.362061351,"2018"
"96","WHO",35079.9482030497,"2018"
"97","BAN",14716.8593343431,"2019"
"98","BLA",25008.8276713736,"2019"
"99","BLC",6265.7823265271,"2019"
"100","CHI",7637.52905191263,"2019"
"101","IND",29352.1175056485,"2019"
"102","MIX",42285.9301309938,"2019"
"103","OAS",15939.9272093116,"2019"
"104","OBL",4406.8412640625,"2019"
"105","OTH",5746.37802301915,"2019"
"106","PAK",38206.378272372,"2019"
"107","WBI",485591.204410407,"2019"
"108","WHO",35917.3605852484,"2019"
"109","BAN",15109.2380284647,"2020"
"110","BLA",25753.1771598384,"2020"
"111","BLC",6319.86672575374,"2020"
"112","CHI",7911.4188137551,"2020"
"113","IND",29689.9859816914,"2020"
"114","MIX",43147.0860029189,"2020"
"115","OAS",16368.7603769948,"2020"
"116","OBL",4547.44240427028,"2020"
"117","OTH",5903.15234301029,"2020"
"118","PAK",39232.2283812652,"2020"
"119","WBI",485361.388087623,"2020"
"120","WHO",36703.0273044986,"2020"
"121","BAN",15507.6524502579,"2021"
"122","BLA",26526.4963752128,"2021"
"123","BLC",6376.0601478497,"2021"
"124","CHI",8138.66097093493,"2021"
"125","IND",30021.9738665934,"2021"
"126","MIX",43995.7709309697,"2021"
"127","OAS",16800.1812914263,"2021"
"128","OBL",4695.13035372322,"2021"
"129","OTH",6059.43753427422,"2021"
"130","PAK",40298.0211642003,"2021"
"131","WBI",485011.036999487,"2021"
"132","WHO",37450.3198250646,"2021"
"133","BAN",15889.0993629125,"2022"
"134","BLA",27286.9085240357,"2022"
"135","BLC",6426.5640853684,"2022"
"136","CHI",8310.07631482088,"2022"
"137","IND",30314.2592682867,"2022"
"138","MIX",44783.2629014282,"2022"
"139","OAS",17210.266447977,"2022"
"140","OBL",4842.95460977119,"2022"
"141","OTH",6208.04068951696,"2022"
"142","PAK",41346.8787458577,"2022"
"143","WBI",484062.273825101,"2022"
"144","WHO",38116.3834569998,"2022"
"145","BAN",16241.2078958308,"2023"
"146","BLA",28012.6616877281,"2023"
"147","BLC",6469.03498304687,"2023"
"148","CHI",8423.96261170745,"2023"
"149","IND",30558.7829561921,"2023"
"150","MIX",45494.5987477816,"2023"
"151","OAS",17590.1873537308,"2023"
"152","OBL",4987.29054925803,"2023"
"153","OTH",6346.29426297633,"2023"
"154","PAK",42360.2858240602,"2023"
"155","WBI",482403.440506324,"2023"
"156","WHO",38688.2126933501,"2023"
"157","BAN",16565.8690945249,"2024"
"158","BLA",28711.3862247014,"2024"
"159","BLC",6504.74624443188,"2024"
"160","CHI",8485.08929784539,"2024"
"161","IND",30770.737676352,"2024"
"162","MIX",46150.5938679345,"2024"
"163","OAS",17942.6310653806,"2024"
"164","OBL",5128.224021626,"2024"
"165","OTH",6476.12405119013,"2024"
"166","PAK",43346.5301951384,"2024"
"167","WBI",480298.30888859,"2024"
"168","WHO",39180.9475201496,"2024"
"169","BAN",16864.7433273222,"2025"
"170","BLA",29373.0151507547,"2025"
"171","BLC",6532.80606529914,"2025"
"172","CHI",8497.65213819113,"2025"
"173","IND",30955.5707673743,"2025"
"174","MIX",46758.5031355134,"2025"
"175","OAS",18267.9208832904,"2025"
"176","OBL",5263.27298651924,"2025"
"177","OTH",6597.23725386686,"2025"
"178","PAK",44296.930397649,"2025"
"179","WBI",477879.236807685,"2025"
"180","WHO",39598.7363503509,"2025"
"181","BAN",17159.1853693013,"2026"
"182","BLA",30031.1972689105,"2026"
"183","BLC",6561.86120910727,"2026"
"184","CHI",8479.9976540292,"2026"
"185","IND",31161.4018351998,"2026"
"186","MIX",47386.2564372004,"2026"
"187","OAS",18589.4785820321,"2026"
"188","OBL",5398.17802537059,"2026"
"189","OTH",6717.31176882925,"2026"
"190","PAK",45266.920375555,"2026"
"191","WBI",475879.469032609,"2026"
"192","WHO",39996.4181698926,"2026"
"193","BAN",17460.2948010687,"2027"
"194","BLA",30695.7900494771,"2027"
"195","BLC",6595.29787135332,"2027"
"196","CHI",8444.09817125569,"2027"
"197","IND",31411.6116879521,"2027"
"198","MIX",48062.2604441876,"2027"
"199","OAS",18917.1232689284,"2027"
"200","OBL",5534.37305904672,"2027"
"201","OTH",6838.67059603696,"2027"
"202","PAK",46281.2038555498,"2027"
"203","WBI",474588.007944087,"2027"
"204","WHO",40395.5093670527,"2027"
"205","BAN",17752.7521763236,"2028"
"206","BLA",31327.0104326278,"2028"
"207","BLC",6625.33672424136,"2028"
"208","CHI",8387.89278597885,"2028"
"209","IND",31679.5752784176,"2028"
"210","MIX",48733.2677356019,"2028"
"211","OAS",19230.6003159838,"2028"
"212","OBL",5662.87636854328,"2028"
"213","OTH",6952.035766808,"2028"
"214","PAK",47290.8101705504,"2028"
"215","WBI",473497.963424531,"2028"
"216","WHO",40755.674851352,"2028"
"217","BAN",18039.6087054456,"2029"
"218","BLA",31926.9890168748,"2029"
"219","BLC",6652.93495825495,"2029"
"220","CHI",8317.67207034891,"2029"
"221","IND",31980.0082751472,"2029"
"222","MIX",49404.1844105434,"2029"
"223","OAS",19533.6696157671,"2029"
"224","OBL",5781.81049913619,"2029"
"225","OTH",7055.89758187723,"2029"
"226","PAK",48313.1324902136,"2029"
"227","WBI",472723.949691832,"2029"
"228","WHO",41087.1567413519,"2029"
"229","BAN",18322.2890857199,"2030"
"230","BLA",32495.1911090637,"2030"
"231","BLC",6679.36160560018,"2030"
"232","CHI",8236.63739275912,"2030"
"233","IND",32316.9221175775,"2030"
"234","MIX",50068.1931258849,"2030"
"235","OAS",19825.870176872,"2030"
"236","OBL",5888.95550649032,"2030"
"237","OTH",7147.34865910526,"2030"
"238","PAK",49358.7068567504,"2030"
"239","WBI",472278.28294518,"2030"
"240","WHO",41389.1167057744,"2030"
"241","BAN",18596.5811604691,"2031"
"242","BLA",33022.3314910743,"2031"
"243","BLC",6702.89727889476,"2031"
"244","CHI",8146.79735625856,"2031"
"245","IND",32682.5971275771,"2031"
"246","MIX",50702.2665201544,"2031"
"247","OAS",20099.8752209903,"2031"
"248","OBL",5980.44909888188,"2031"
"249","OTH",7221.86092396468,"2031"
"250","PAK",50417.1069903081,"2031"
"251","WBI",472017.578020054,"2031"
"252","WHO",41649.5994717545,"2031"
"253","BAN",18867.9168037074,"2032"
"254","BLA",33509.0068510585,"2032"
"255","BLC",6723.89845657905,"2032"
"256","CHI",8053.72740806568,"2032"
"257","IND",33083.0560849896,"2032"
"258","MIX",51306.7418228343,"2032"
"259","OAS",20359.3583036275,"2032"
"260","OBL",6055.47591831957,"2032"
"261","OTH",7278.03837731249,"2032"
"262","PAK",51501.949970563,"2032"
"263","WBI",472005.959793085,"2032"
"264","WHO",41877.3233348905,"2032"
"265","BAN",19128.8282255859,"2033"
"266","BLA",33945.4177590267,"2033"
"267","BLC",6741.208829943,"2033"
"268","CHI",7959.49958678626,"2033"
"269","IND",33504.4905477954,"2033"
"270","MIX",51857.826690628,"2033"
"271","OAS",20597.8765581748,"2033"
"272","OBL",6111.7346612394,"2033"
"273","OTH",7311.52084311721,"2033"
"274","PAK",52598.3049837361,"2033"
"275","WBI",472054.044989632,"2033"
"276","WHO",42064.1764915768,"2033"
"277","BAN",19376.8578352221,"2034"
"278","BLA",34333.7233802982,"2034"
"279","BLC",6754.17196630405,"2034"
"280","CHI",7866.23966824789,"2034"
"281","IND",33941.0752697462,"2034"
"282","MIX",52346.2467465013,"2034"
"283","OAS",20813.024510221,"2034"
"284","OBL",6149.2841008748,"2034"
"285","OTH",7321.22900869764,"2034"
"286","PAK",53698.8671371325,"2034"
"287","WBI",472078.129028043,"2034"
"288","WHO",42213.1323465928,"2034"
"289","BAN",19616.6250509237,"2035"
"290","BLA",34679.9954923137,"2035"
"291","BLC",6764.11799992182,"2035"
"292","CHI",7775.95216700506,"2035"
"293","IND",34393.666099875,"2035"
"294","MIX",52782.4550222793,"2035"
"295","OAS",21010.4806469248,"2035"
"296","OBL",6170.50381290871,"2035"
"297","OTH",7310.17679390073,"2035"
"298","PAK",54812.7320355188,"2035"
"299","WBI",472141.916814478,"2035"
"300","WHO",42337.9763085994,"2035"
"301","BAN",19846.0455462484,"2036"
"302","BLA",34986.6264254246,"2036"
"303","BLC",6771.83695455175,"2036"
"304","CHI",7687.62454094744,"2036"
"305","IND",34856.2364224105,"2036"
"306","MIX",53168.7773526085,"2036"
"307","OAS",21192.0161042486,"2036"
"308","OBL",6177.14222463891,"2036"
"309","OTH",7281.16672473557,"2036"
"310","PAK",55941.9067347869,"2036"
"311","WBI",472216.790210799,"2036"
"312","WHO",42443.7534862308,"2036"
"313","BAN",20063.6963706649,"2037"
"314","BLA",35257.3490205399,"2037"
"315","BLC",6778.15529982361,"2037"
"316","CHI",7599.12897774933,"2037"
"317","IND",35322.4061744795,"2037"
"318","MIX",53509.0084098457,"2037"
"319","OAS",21359.2450553809,"2037"
"320","OBL",6172.11727313526,"2037"
"321","OTH",7236.70168811446,"2037"
"322","PAK",57089.1059580923,"2037"
"323","WBI",472259.55325197,"2037"
"324","WHO",42529.9349246059,"2037"
"325","BAN",20271.6365517719,"2038"
"326","BLA",35496.3216598916,"2038"
"327","BLC",6783.44445131292,"2038"
"328","CHI",7511.71769692139,"2038"
"329","IND",35781.8153259044,"2038"
"330","MIX",53810.0480933064,"2038"
"331","OAS",21514.9167326283,"2038"
"332","OBL",6158.70119447341,"2038"
"333","OTH",7180.03513611657,"2038"
"334","PAK",58258.171554187,"2038"
"335","WBI",472253.903735532,"2038"
"336","WHO",42593.213784296,"2038"
"337","BAN",20470.3642928468,"2039"
"338","BLA",35704.5119161564,"2039"
"339","BLC",6787.79238729342,"2039"
"340","CHI",7428.47028972989,"2039"
"341","IND",36224.3205427465,"2039"
"342","MIX",54075.6841906756,"2039"
"343","OAS",21659.6480616915,"2039"
"344","OBL",6138.96221724228,"2039"
"345","OTH",7113.41517338511,"2039"
"346","PAK",59444.784820043,"2039"
"347","WBI",472190.056868435,"2039"
"348","WHO",42628.9445332204,"2039"
"349","BAN",20657.182984289,"2040"
"350","BLA",35885.1632772881,"2040"
"351","BLC",6791.74647400159,"2040"
"352","CHI",7350.27472492378,"2040"
"353","IND",36642.7274354759,"2040"
"354","MIX",54309.890811998,"2040"
"355","OAS",21794.9766710972,"2040"
"356","OBL",6115.16126917009,"2040"
"357","OTH",7038.88375245041,"2040"
"358","PAK",60641.2010848712,"2040"
"359","WBI",472033.971378414,"2040"
"360","WHO",42634.8095864062,"2040"
"361","BAN",20832.7753240889,"2041"
"362","BLA",36041.0786398576,"2041"
"363","BLC",6795.61836895158,"2041"
"364","CHI",7277.68659703365,"2041"
"365","IND",37031.9285325889,"2041"
"366","MIX",54519.9722164293,"2041"
"367","OAS",21924.0315243756,"2041"
"368","OBL",6089.64252031019,"2041"
"369","OTH",6959.25126965264,"2041"
"370","PAK",61844.5721444402,"2041"
"371","WBI",471794.537232261,"2041"
"372","WHO",42617.7800757193,"2041"
"373","BAN",20996.8290626024,"2042"
"374","BLA",36167.0777101446,"2042"
"375","BLC",6799.6730260213,"2042"
"376","CHI",7208.0913244153,"2042"
"377","IND",37389.1214151869,"2042"
"378","MIX",54711.3738892361,"2042"
"379","OAS",22047.7880724056,"2042"
"380","OBL",6063.93527120174,"2042"
"381","OTH",6877.08392562924,"2042"
"382","PAK",63050.7425817879,"2042"
"383","WBI",471513.217602392,"2042"
"384","WHO",42579.9073087403,"2042"
"385","BAN",21148.7507339207,"2043"
"386","BLA",36265.5520031697,"2043"
"387","BLC",6803.71848458326,"2043"
"388","CHI",7137.63217767246,"2043"
"389","IND",37713.2861036809,"2043"
"390","MIX",54889.7227204622,"2043"
"391","OAS",22167.3592305461,"2043"
"392","OBL",6040.23516546464,"2043"
"393","OTH",6795.68610478432,"2043"
"394","PAK",64263.6588879234,"2043"
"395","WBI",471176.919221612,"2043"
"396","WHO",42519.9375754689,"2043"
"397","BAN",21289.3888122556,"2044"
"398","BLA",36339.996309213,"2044"
"399","BLC",6808.26414195284,"2044"
"400","CHI",7063.842362345,"2044"
"401","IND",38003.5341821643,"2044"
"402","MIX",55056.0520571509,"2044"
"403","OAS",22283.4853144742,"2044"
"404","OBL",6019.45493465613,"2044"
"405","OTH",6715.64463822528,"2044"
"406","PAK",65487.9723531619,"2044"
"407","WBI",470765.663493094,"2044"
"408","WHO",42437.3703241608,"2044"
"409","BAN",21419.9888904238,"2045"
"410","BLA",36385.1955245438,"2045"
"411","BLC",6813.19103210981,"2045"
"412","CHI",6983.46339387109,"2045"
"413","IND",38258.6070513702,"2045"
"414","MIX",55208.4414737091,"2045"
"415","OAS",22396.3040761831,"2045"
"416","OBL",6001.15546275445,"2045"
"417","OTH",6636.5194014365,"2045"
"418","PAK",66721.001228584,"2045"
"419","WBI",470266.702502328,"2045"
"420","WHO",42331.3273091777,"2045"
"421","BAN",21542.4412936717,"2046"
"422","BLA",36397.8799033522,"2046"
"423","BLC",6817.5758105499,"2046"
"424","CHI",6893.76511064532,"2046"
"425","IND",38477.9190255664,"2046"
"426","MIX",55345.7366472227,"2046"
"427","OAS",22505.086515685,"2046"
"428","OBL",5985.16305577213,"2046"
"429","OTH",6558.64582788467,"2046"
"430","PAK",67960.3607287308,"2046"
"431","WBI",469663.537038631,"2046"
"432","WHO",42203.4957412423,"2046"
"433","BAN",21657.8139626236,"2047"
"434","BLA",36374.4010716271,"2047"
"435","BLC",6821.03446785824,"2047"
"436","CHI",6793.40476455461,"2047"
"437","IND",38663.5929563932,"2047"
"438","MIX",55468.8682979117,"2047"
"439","OAS",22609.7463536787,"2047"
"440","OBL",5971.04284770615,"2047"
"441","OTH",6482.34163105429,"2047"
"442","PAK",69204.9773716156,"2047"
"443","WBI",468985.678816817,"2047"
"444","WHO",42056.6681941541,"2047"
"445","BAN",21766.4960334668,"2048"
"446","BLA",36311.2009396198,"2048"
"447","BLC",6823.52166909137,"2048"
"448","CHI",6681.8852532448,"2048"
"449","IND",38817.4373082175,"2048"
"450","MIX",55581.4957884408,"2048"
"451","OAS",22710.5812756914,"2048"
"452","OBL",5959.18804188058,"2048"
"453","OTH",6408.68307672603,"2048"
"454","PAK",70453.2678319094,"2048"
"455","WBI",468259.703839979,"2048"
"456","WHO",41894.4899177588,"2048"
"457","BAN",21869.7251847861,"2049"
"458","BLA",36207.0623987311,"2049"
"459","BLC",6824.43903269128,"2049"
"460","CHI",6557.85459511117,"2049"
"461","IND",38942.1958217088,"2049"
"462","MIX",55682.1480423233,"2049"
"463","OAS",22806.225114612,"2049"
"464","OBL",5948.99493636372,"2049"
"465","OTH",6336.90988831557,"2049"
"466","PAK",71704.0119227427,"2049"
"467","WBI",467498.566248894,"2049"
"468","WHO",41717.1686624685,"2049"
"469","BAN",21967.4616769524,"2050"
"470","BLA",36060.2118935685,"2050"
"471","BLC",6823.01293703292,"2050"
"472","CHI",6420.53393790506,"2050"
"473","IND",39042.6982717491,"2050"
"474","MIX",55767.498011101,"2050"
"475","OAS",22895.877937608,"2050"
"476","OBL",5939.14837311883,"2050"
"477","OTH",6265.42022881112,"2050"
"478","PAK",72958.0550472233,"2050"
"479","WBI",466709.709889672,"2050"
"480","WHO",41522.526850728,"2050"
"481","BAN",22059.2135065303,"2051"
"482","BLA",35868.3067726701,"2051"
"483","BLC",6818.802524453,"2051"
"484","CHI",6270.93638400335,"2051"
"485","IND",39122.8619821237,"2051"
"486","MIX",55835.5194316654,"2051"
"487","OAS",22979.2214093518,"2051"
"488","OBL",5928.69650454668,"2051"
"489","OTH",6193.30933669985,"2051"
"490","PAK",74215.2471398629,"2051"
"491","WBI",465895.789643119,"2051"
"492","WHO",41309.7951947978,"2051"
"493","BAN",22147.2722721959,"2052"
"494","BLA",35623.9071151406,"2052"
"495","BLC",6810.97350420432,"2052"
"496","CHI",6110.46935930969,"2052"
"497","IND",39184.5852646412,"2052"
"498","MIX",55882.5469466186,"2052"
"499","OAS",23054.3073780769,"2052"
"500","OBL",5916.27371804865,"2052"
"501","OTH",6119.76742255306,"2052"
"502","PAK",75478.6205521643,"2052"
"503","WBI",465046.107172871,"2052"
"504","WHO",41078.3244354753,"2052"
"505","BAN",22232.6937675515,"2053"
"506","BLA",35321.5215818448,"2053"
"507","BLC",6798.91340654923,"2053"
"508","CHI",5940.2787524786,"2053"
"509","IND",39230.3220801309,"2053"
"510","MIX",55907.2706782986,"2053"
"511","OAS",23119.8587310552,"2053"
"512","OBL",5901.27864475947,"2053"
"513","OTH",6045.27271001016,"2053"
"514","PAK",76751.8861548915,"2053"
"515","WBI",464145.690983715,"2053"
"516","WHO",40827.6752225633,"2053"
"517","BAN",22315.728676317,"2054"
"518","BLA",34964.4124017977,"2054"
"519","BLC",6782.15395949153,"2054"
"520","CHI",5761.89996992007,"2054"
"521","IND",39262.5992539394,"2054"
"522","MIX",55909.4124959404,"2054"
"523","OAS",23175.5969140972,"2054"
"524","OBL",5883.16292289625,"2054"
"525","OTH",5969.90560607001,"2054"
"526","PAK",78033.3606863742,"2054"
"527","WBI",463207.042533452,"2054"
"528","WHO",40557.6340211361,"2054"
"529","BAN",22397.2951500346,"2055"
"530","BLA",34554.3666981575,"2055"
"531","BLC",6760.33688094736,"2055"
"532","CHI",5577.00957297613,"2055"
"533","IND",39284.0621558323,"2055"
"534","MIX",55886.9937491655,"2055"
"535","OAS",23220.822310214,"2055"
"536","OBL",5860.94678963955,"2055"
"537","OTH",5892.63947249849,"2055"
"538","PAK",79322.2807485877,"2055"
"539","WBI",462237.69393113,"2055"
"540","WHO",40266.6734437114,"2055"
"541","BAN",22477.600989911,"2056"
"542","BLA",34094.5620182284,"2056"
"543","BLC",6733.27581944427,"2056"
"544","CHI",5387.13567509527,"2056"
"545","IND",39298.2939802689,"2056"
"546","MIX",55839.057996275,"2056"
"547","OAS",23255.4054084367,"2056"
"548","OBL",5834.16719130507,"2056"
"549","OTH",5812.98664205472,"2056"
"550","PAK",80623.2041393105,"2056"
"551","WBI",461245.896150066,"2056"
"552","WHO",39953.0291173627,"2056"
"553","BAN",22558.0138877315,"2057"
"554","BLA",33588.1965545742,"2057"
"555","BLC",6701.52049610931,"2057"
"556","CHI",5194.60642926033,"2057"
"557","IND",39308.5586743352,"2057"
"558","MIX",55763.4751550074,"2057"
"559","OAS",23277.8991796129,"2057"
"560","OBL",5802.15817050174,"2057"
"561","OTH",5730.02137315084,"2057"
"562","PAK",81939.5883152944,"2057"
"563","WBI",460238.884652506,"2057"
"564","WHO",39614.0557440628,"2057"
"565","BAN",22639.5144998005,"2058"
"566","BLA",33037.1680210149,"2058"
"567","BLC",6665.88918251202,"2058"
"568","CHI",5001.75673411298,"2058"
"569","IND",39316.9528002537,"2058"
"570","MIX",55661.1398455384,"2058"
"571","OAS",23287.9957929284,"2058"
"572","OBL",5764.71609713704,"2058"
"573","OTH",5643.51113258997,"2058"
"574","PAK",83269.6821500128,"2058"
"575","WBI",459234.963692997,"2058"
"576","WHO",39250.0592054471,"2058"
"577","BAN",22721.7211512669,"2059"
"578","BLA",32447.287465055,"2059"
"579","BLC",6626.08414581114,"2059"
"580","CHI",4810.4186114445,"2059"
"581","IND",39322.7208171617,"2059"
"582","MIX",55533.4888929151,"2059"
"583","OAS",23285.8650869924,"2059"
"584","OBL",5722.07878100379,"2059"
"585","OTH",5553.84527669734,"2059"
"586","PAK",84613.3670665943,"2059"
"587","WBI",458237.170344846,"2059"
"588","WHO",38862.8288414031,"2059"
"589","BAN",22803.6534665364,"2060"
"590","BLA",31825.3487626256,"2060"
"591","BLC",6582.16163783256,"2060"
"592","CHI",4621.77570985472,"2060"
"593","IND",39325.621535392,"2060"
"594","MIX",55380.2647522382,"2060"
"595","OAS",23270.5166924294,"2060"
"596","OBL",5674.39960443599,"2060"
"597","OTH",5461.09088277925,"2060"
"598","PAK",85971.4040019932,"2060"
"599","WBI",457232.845382454,"2060"
"600","WHO",38453.0753558852,"2060"
