"","ETH.group","year","sex","births"
"1","BAN","2011","person",12976.2021626051
"2","BLA","2011","person",21228.193193027
"3","BLC","2011","person",6480.56216406484
"4","CHI","2011","person",4437.63176474272
"5","IND","2011","person",26845.9033323012
"6","MIX","2011","person",36891.8566352787
"7","OAS","2011","person",13706.9326865939
"8","OBL","2011","person",3834.17117629013
"9","OTH","2011","person",4708.91232071569
"10","PAK","2011","person",33367.9311046735
"11","WBI","2011","person",505532.995604903
"12","WHO","2011","person",29797.1671032365
"13","BAN","2012","person",12837.4792610157
"14","BLA","2012","person",21081.3729499477
"15","BLC","2012","person",6273.90034474616
"16","CHI","2012","person",4778.23391833872
"17","IND","2012","person",26786.1334779216
"18","MIX","2012","person",36844.9425203955
"19","OAS","2012","person",13609.253572519
"20","OBL","2012","person",3784.76853022044
"21","OTH","2012","person",4752.04649098766
"22","PAK","2012","person",33178.4596221968
"23","WBI","2012","person",494421.090010566
"24","WHO","2012","person",30042.0583244682
"25","BAN","2013","person",12648.1501545883
"26","BLA","2013","person",20862.4327590378
"27","BLC","2013","person",6046.19182037576
"28","CHI","2013","person",5134.34983620278
"29","IND","2013","person",26606.1258886949
"30","MIX","2013","person",36661.6469461181
"31","OAS","2013","person",13485.0324090142
"32","OBL","2013","person",3725.58252086228
"33","OTH","2013","person",4781.10162797431
"34","PAK","2013","person",32884.0297948829
"35","WBI","2013","person",481131.618568165
"36","WHO","2013","person",30171.8240779328
"37","BAN","2014","person",12797.0355652546
"38","BLA","2014","person",21224.9406871731
"39","BLC","2014","person",5977.64595446809
"40","CHI","2014","person",5668.52885128882
"41","IND","2014","person",27164.9037359642
"42","MIX","2014","person",37474.8779853516
"43","OAS","2014","person",13767.6533014329
"44","OBL","2014","person",3771.93445165567
"45","OTH","2014","person",4950.88121238551
"46","PAK","2014","person",33509.3587025353
"47","WBI","2014","person",479757.397385251
"48","WHO","2014","person",31188.7936162289
"49","BAN","2015","person",13021.1838462428
"50","BLA","2015","person",21694.3295859235
"51","BLC","2015","person",5944.88551525137
"52","CHI","2015","person",6239.34519894813
"53","IND","2015","person",27808.8831394369
"54","MIX","2015","person",38466.837995378
"55","OAS","2015","person",14123.6027168834
"56","OBL","2015","person",3843.43675733978
"57","OTH","2015","person",5142.20195457654
"58","PAK","2015","person",34327.6197202179
"59","WBI","2015","person",480684.367221518
"60","WHO","2015","person",32292.7338935497
"61","BAN","2016","person",13278.3835017706
"62","BLA","2016","person",22183.2793000891
"63","BLC","2016","person",5929.07074576258
"64","CHI","2016","person",6798.94805709499
"65","IND","2016","person",28394.544973632
"66","MIX","2016","person",39473.9728530079
"67","OAS","2016","person",14474.413592385
"68","OBL","2016","person",3926.40841074862
"69","OTH","2016","person",5326.51886418703
"70","PAK","2016","person",35209.5527072259
"71","WBI","2016","person",482490.263901196
"72","WHO","2016","person",33280.3956239587
"73","BAN","2017","person",13534.1739640561
"74","BLA","2017","person",22649.3645283947
"75","BLC","2017","person",5910.15334928564
"76","CHI","2017","person",7332.89436514359
"77","IND","2017","person",28893.4747754424
"78","MIX","2017","person",40404.4186043995
"79","OAS","2017","person",14802.0412288395
"80","OBL","2017","person",4011.22561447437
"81","OTH","2017","person",5497.42971151877
"82","PAK","2017","person",36086.7279805208
"83","WBI","2017","person",483440.987217808
"84","WHO","2017","person",34143.1132988699
"85","BAN","2018","person",13780.6104177783
"86","BLA","2018","person",23085.1329386787
"87","BLC","2018","person",5885.54456723147
"88","CHI","2018","person",7826.76129451636
"89","IND","2018","person",29297.3079246724
"90","MIX","2018","person",41233.8705320679
"91","OAS","2018","person",15098.8271427317
"92","OBL","2018","person",4095.61118268597
"93","OTH","2018","person",5652.74382317847
"94","PAK","2018","person",36942.9263161526
"95","WBI","2018","person",483256.198725342
"96","WHO","2018","person",34871.1660100391
"97","BAN","2019","person",14030.7180645021
"98","BLA","2019","person",23518.7500611476
"99","BLC","2019","person",5861.71593162958
"100","CHI","2019","person",8274.90570018679
"101","IND","2019","person",29636.1576133561
"102","MIX","2019","person",41997.905655028
"103","OAS","2019","person",15375.5290701359
"104","OBL","2019","person",4183.67991247569
"105","OTH","2019","person",5796.92328261044
"106","PAK","2019","person",37812.9396846622
"107","WBI","2019","person",482456.42831656
"108","WHO","2019","person",35495.4039297556
"109","BAN","2020","person",14290.7076979086
"110","BLA","2020","person",23970.2696854102
"111","BLC","2020","person",5840.02122249161
"112","CHI","2020","person",8675.18851390478
"113","IND","2020","person",29935.9302497467
"114","MIX","2020","person",42718.6564876469
"115","OAS","2020","person",15642.6706564209
"116","OBL","2020","person",4277.33439213408
"117","OTH","2020","person",5933.8140307351
"118","PAK","2020","person",38713.71139934
"119","WBI","2020","person",481246.405629341
"120","WHO","2020","person",36045.4131001699
"121","BAN","2021","person",14565.3935080317
"122","BLA","2021","person",24462.5386776246
"123","BLC","2021","person",5823.01705134248
"124","CHI","2021","person",9031.98284434185
"125","IND","2021","person",30227.6472061737
"126","MIX","2021","person",43428.0408970564
"127","OAS","2021","person",15911.5972776946
"128","OBL","2021","person",4379.23590208637
"129","OTH","2021","person",6069.00598786089
"130","PAK","2021","person",39661.9092981414
"131","WBI","2021","person",479913.199464881
"132","WHO","2021","person",36558.5965942072
"133","BAN","2022","person",14837.5521917487
"134","BLA","2022","person",24965.7799471278
"135","BLC","2022","person",5805.2360457755
"136","CHI","2022","person",9336.57527081178
"137","IND","2022","person",30492.8229940028
"138","MIX","2022","person",44092.7908888141
"139","OAS","2022","person",16169.6209628868
"140","OBL","2022","person",4484.36213342719
"141","OTH","2022","person",6198.57755545606
"142","PAK","2022","person",40613.1887347028
"143","WBI","2022","person",478047.656780644
"144","WHO","2022","person",37018.3699002483
"145","BAN","2023","person",15097.3451090395
"146","BLA","2023","person",25462.3179691656
"147","BLC","2023","person",5785.17104550953
"148","CHI","2023","person",9584.5201227065
"149","IND","2023","person",30725.5553704833
"150","MIX","2023","person",44701.2673517249
"151","OAS","2023","person",16411.7918992603
"152","OBL","2023","person",4589.57137087713
"153","OTH","2023","person",6320.72045129813
"154","PAK","2023","person",41550.7909126785
"155","WBI","2023","person",475555.14873676
"156","WHO","2023","person",37417.699510069
"157","BAN","2024","person",15347.0822089808
"158","BLA","2024","person",25958.2774006281
"159","BLC","2024","person",5764.061360095
"160","CHI","2024","person",9779.63923656616
"161","IND","2024","person",30942.4499703784
"162","MIX","2024","person",45276.5404206865
"163","OAS","2024","person",16644.1756668655
"164","OBL","2024","person",4695.12185117694
"165","OTH","2024","person",6438.15787108445
"166","PAK","2024","person",42484.0675061316
"167","WBI","2024","person",472708.050856273
"168","WHO","2024","person",37775.8895833531
"169","BAN","2025","person",15588.9035086563
"170","BLA","2025","person",26445.9094034092
"171","BLC","2025","person",5741.29118032105
"172","CHI","2025","person",9925.01308384039
"173","IND","2025","person",31150.339625014
"174","MIX","2025","person",45828.2572815808
"175","OAS","2025","person",16869.0029575085
"176","OBL","2025","person",4799.15785400955
"177","OTH","2025","person",6551.23359714869
"178","PAK","2025","person",43404.2747520221
"179","WBI","2025","person",469648.942063936
"180","WHO","2025","person",38100.2263356853
"181","BAN","2026","person",15842.0835069302
"182","BLA","2026","person",26954.8552537316
"183","BLC","2026","person",5724.36221754798
"184","CHI","2026","person",10040.4903259264
"185","IND","2026","person",31398.360326126
"186","MIX","2026","person",46424.3987336727
"187","OAS","2026","person",17109.0750243366
"188","OBL","2026","person",4906.92232124145
"189","OTH","2026","person",6668.00676089975
"190","PAK","2026","person",44364.6104073924
"191","WBI","2026","person",467104.459921711
"192","WHO","2026","person",38445.3732372478
"193","BAN","2027","person",16116.8206339615
"194","BLA","2027","person",27493.407697535
"195","BLC","2027","person",5715.89251601764
"196","CHI","2027","person",10138.7131288914
"197","IND","2027","person",31710.008601214
"198","MIX","2027","person",47093.3760158273
"199","OAS","2027","person",17373.5835389656
"200","OBL","2027","person",5019.43724084052
"201","OTH","2027","person",6791.05995737044
"202","PAK","2027","person",45387.6839193343
"203","WBI","2027","person",465357.277947277
"204","WHO","2027","person",38832.5990530955
"205","BAN","2028","person",16399.4530825478
"206","BLA","2028","person",28024.9833172518
"207","BLC","2028","person",5708.74954189958
"208","CHI","2028","person",10215.5258488698
"209","IND","2028","person",32058.2591526899
"210","MIX","2028","person",47783.0172269572
"211","OAS","2028","person",17643.5517503199
"212","OBL","2028","person",5128.21458450569
"213","OTH","2028","person",6911.37367325739
"214","PAK","2028","person",46424.5204899032
"215","WBI","2028","person",463906.93568097
"216","WHO","2028","person",39223.3569325135
"217","BAN","2029","person",16692.9854904807
"218","BLA","2029","person",28550.062195703
"219","BLC","2029","person",5703.31816021045
"220","CHI","2029","person",10277.9561746874
"221","IND","2029","person",32457.0617309374
"222","MIX","2029","person",48497.8278987499
"223","OAS","2029","person",17921.535188292
"224","OBL","2029","person",5231.27878898045
"225","OTH","2029","person",7027.52790229534
"226","PAK","2029","person",47490.6453774006
"227","WBI","2029","person",462860.927147925
"228","WHO","2029","person",39626.7897315908
"229","BAN","2030","person",16998.8434766398
"230","BLA","2030","person",29067.3571254123
"231","BLC","2030","person",5700.31946610614
"232","CHI","2030","person",10329.7025349921
"233","IND","2030","person",32909.0690165733
"234","MIX","2030","person",49229.7814697055
"235","OAS","2030","person",18205.8353991729
"236","OBL","2030","person",5326.08014946472
"237","OTH","2030","person",7136.48339496387
"238","PAK","2030","person",48593.6649771905
"239","WBI","2030","person",462223.117637662
"240","WHO","2030","person",40039.9707669168
"241","BAN","2031","person",17313.2278128671
"242","BLA","2031","person",29567.2653503882
"243","BLC","2031","person",5697.59189450874
"244","CHI","2031","person",10372.545862735
"245","IND","2031","person",33405.6279117368
"246","MIX","2031","person",49954.5131419117
"247","OAS","2031","person",18487.7691521784
"248","OBL","2031","person",5408.55613839542
"249","OTH","2031","person",7233.54268284339
"250","PAK","2031","person",49721.269986797
"251","WBI","2031","person",461843.389842381
"252","WHO","2031","person",40448.7154789095
"253","BAN","2032","person",17641.1566394179
"254","BLA","2032","person",30048.4253281919
"255","BLC","2032","person",5694.77756228724
"256","CHI","2032","person",10413.3460341293
"257","IND","2032","person",33951.6457278898
"258","MIX","2032","person",50670.6714955632
"259","OAS","2032","person",18768.9742763661
"260","OBL","2032","person",5477.47865921283
"261","OTH","2032","person",7317.14742850975
"262","PAK","2032","person",50884.699118243
"263","WBI","2032","person",461772.872325474
"264","WHO","2032","person",40858.6357101163
"265","BAN","2033","person",17975.4225789255
"266","BLA","2033","person",30502.5918374695
"267","BLC","2033","person",5690.60280389927
"268","CHI","2033","person",10453.5364430191
"269","IND","2033","person",34532.9753974387
"270","MIX","2033","person",51352.3775916146
"271","OAS","2033","person",19040.6646517618
"272","OBL","2033","person",5530.25240837217
"273","OTH","2033","person",7382.19614646842
"274","PAK","2033","person",52066.8147445366
"275","WBI","2033","person",461815.735624428
"276","WHO","2033","person",41258.5735626439
"277","BAN","2034","person",18313.2096631644
"278","BLA","2034","person",30929.8892230261
"279","BLC","2034","person",5683.8858488432
"280","CHI","2034","person",10495.9885986701
"281","IND","2034","person",35142.0025758516
"282","MIX","2034","person",51987.8916395303
"283","OAS","2034","person",19299.3120093779
"284","OBL","2034","person",5566.60594294148
"285","OTH","2034","person",7427.02375983224
"286","PAK","2034","person",53258.4123443767
"287","WBI","2034","person",461877.029972978
"288","WHO","2034","person",41648.1324228749
"289","BAN","2035","person",18657.6704015543
"290","BLA","2035","person",31335.086555599
"291","BLC","2035","person",5675.39751276195
"292","CHI","2035","person",10543.4447900678
"293","IND","2035","person",35778.6696249955
"294","MIX","2035","person",52585.5180695322
"295","OAS","2035","person",19548.3336557667
"296","OBL","2035","person",5588.56582752708
"297","OTH","2035","person",7454.43407795292
"298","PAK","2035","person",54465.6839486402
"299","WBI","2035","person",462006.747595472
"300","WHO","2035","person",42037.6086251269
"301","BAN","2036","person",19005.4660623323
"302","BLA","2036","person",31719.8707417199
"303","BLC","2036","person",5665.78512185815
"304","CHI","2036","person",10595.5730800543
"305","IND","2036","person",36435.8354878007
"306","MIX","2036","person",53145.8283360698
"307","OAS","2036","person",19787.8504328235
"308","OBL","2036","person",5597.65722241491
"309","OTH","2036","person",7466.87486576529
"310","PAK","2036","person",55689.0294533026
"311","WBI","2036","person",462167.337564084
"312","WHO","2036","person",42428.9894014392
"313","BAN","2037","person",19354.0387050669
"314","BLA","2037","person",32087.9330191982
"315","BLC","2037","person",5655.70598302453
"316","CHI","2037","person",10651.0030738759
"317","IND","2037","person",37106.020135685
"318","MIX","2037","person",53670.9763162221
"319","OAS","2037","person",20017.9602860509
"320","OBL","2037","person",5596.59102279098
"321","OTH","2037","person",7466.59388457897
"322","PAK","2037","person",56929.8256882499
"323","WBI","2037","person",462308.697899286
"324","WHO","2037","person",42818.6584719091
"325","BAN","2038","person",19704.3259484647
"326","BLA","2038","person",32444.2939165482
"327","BLC","2038","person",5645.42269192015
"328","CHI","2038","person",10711.4558422122
"329","IND","2038","person",37777.9987256603
"330","MIX","2038","person",54166.1388720458
"331","OAS","2038","person",20239.9931184049
"332","OBL","2038","person",5588.6303360251
"333","OTH","2038","person",7456.49846812259
"334","PAK","2038","person",58190.9672342189
"335","WBI","2038","person",462408.144843468
"336","WHO","2038","person",43200.5100958111
"337","BAN","2039","person",20054.9697592878
"338","BLA","2039","person",32789.1549656255
"339","BLC","2039","person",5635.07726249808
"340","CHI","2039","person",10780.4490285104
"341","IND","2039","person",38440.5561890963
"342","MIX","2039","person",54633.7977876036
"343","OAS","2039","person",20453.4256817764
"344","OBL","2039","person",5575.78959112805
"345","OTH","2039","person",7438.68697874931
"346","PAK","2039","person",59468.0454924869
"347","WBI","2039","person",462449.101851231
"348","WHO","2039","person",43567.8060527649
"349","BAN","2040","person",20401.7292223319
"350","BLA","2040","person",33124.0784544482
"351","BLC","2040","person",5625.25674717335
"352","CHI","2040","person",10858.8065369046
"353","IND","2040","person",39085.494902868
"354","MIX","2040","person",55076.9695113267
"355","OAS","2040","person",20658.9882512047
"356","OBL","2040","person",5560.3150989507
"357","OTH","2040","person",7415.2196035936
"358","PAK","2040","person",60753.7703761932
"359","WBI","2040","person",462392.250480303
"360","WHO","2040","person",43916.6075152197
"361","BAN","2041","person",20744.1337297464
"362","BLA","2041","person",33452.6972995535
"363","BLC","2041","person",5616.25393652038
"364","CHI","2041","person",10947.3350494314
"365","IND","2041","person",39707.0326942735
"366","MIX","2041","person",55502.4457598864
"367","OAS","2041","person",20859.3041245042
"368","OBL","2041","person",5544.64856200167
"369","OTH","2041","person",7388.82020561178
"370","PAK","2041","person",62046.597304971
"371","WBI","2041","person",462244.275143971
"372","WHO","2041","person",44252.9572611979
"373","BAN","2042","person",21080.935978794
"374","BLA","2042","person",33773.5091054253
"375","BLC","2042","person",5608.58516651744
"376","CHI","2042","person",11044.2391572095
"377","IND","2042","person",40301.8403942702
"378","MIX","2042","person",55915.8086484959
"379","OAS","2042","person",21055.0207499499
"380","OBL","2042","person",5530.55893408763
"381","OTH","2042","person",7362.02372952882
"382","PAK","2042","person",63344.0890689561
"383","WBI","2042","person",462044.580046118
"384","WHO","2042","person",44577.8506562255
"385","BAN","2043","person",21410.8310738845
"386","BLA","2043","person",34089.8601775809
"387","BLC","2043","person",5602.23515567025
"388","CHI","2043","person",11146.6753232869
"389","IND","2043","person",40868.4415581516
"390","MIX","2043","person",56323.0025656092
"391","OAS","2043","person",21247.050502968
"392","OBL","2043","person",5520.30368956371
"393","OTH","2043","person",7338.22135620663
"394","PAK","2043","person",64651.9601163207
"395","WBI","2043","person",461781.030248921
"396","WHO","2043","person",44888.8387277439
"397","BAN","2044","person",21734.0002991367
"398","BLA","2044","person",34405.4087622979
"399","BLC","2044","person",5597.72233705733
"400","CHI","2044","person",11253.2470610933
"401","IND","2044","person",41405.8791721203
"402","MIX","2044","person",56725.5395070929
"403","OAS","2044","person",21436.1729282696
"404","OBL","2044","person",5514.7851841372
"405","OTH","2044","person",7318.00380535184
"406","PAK","2044","person",65977.3227922216
"407","WBI","2044","person",461437.429187379
"408","WHO","2044","person",45184.5754117795
"409","BAN","2045","person",22051.0249326513
"410","BLA","2045","person",34717.5242749759
"411","BLC","2045","person",5595.26497175508
"412","CHI","2045","person",11361.4153453205
"413","IND","2045","person",41913.4420057052
"414","MIX","2045","person",57122.3615533123
"415","OAS","2045","person",21622.8571932835
"416","OBL","2045","person",5513.72268053098
"417","OTH","2045","person",7300.98951992642
"418","PAK","2045","person",67319.8606703035
"419","WBI","2045","person",461004.342275896
"420","WHO","2045","person",45463.6308338301
"421","BAN","2046","person",22362.9919078737
"422","BLA","2046","person",35024.3172582394
"423","BLC","2046","person",5594.27597092828
"424","CHI","2046","person",11469.2085687758
"425","IND","2046","person",42391.4162868217
"426","MIX","2046","person",57513.5211883359
"427","OAS","2046","person",21807.0933264112
"428","OBL","2046","person",5517.12797671052
"429","OTH","2046","person",7287.64569001278
"430","PAK","2046","person",68679.0110680784
"431","WBI","2046","person",460470.073885575
"432","WHO","2046","person",45727.9230154532
"433","BAN","2047","person",22670.6430342854
"434","BLA","2047","person",35323.7331484437
"435","BLC","2047","person",5594.61058659088
"436","CHI","2047","person",11574.9425744549
"437","IND","2047","person",42842.4872866833
"438","MIX","2047","person",57901.0435970618
"439","OAS","2047","person",21989.5091205549
"440","OBL","2047","person",5524.83935059262
"441","OTH","2047","person",7278.37141481556
"442","PAK","2047","person",70055.4231329389
"443","WBI","2047","person",459870.262476254
"444","WHO","2047","person",45980.1819725422
"445","BAN","2048","person",22974.2132149823
"446","BLA","2048","person",35614.6817601117
"447","BLC","2048","person",5596.55996847238
"448","CHI","2048","person",11676.6435420045
"449","IND","2048","person",43269.2592788781
"450","MIX","2048","person",58289.9890788066
"451","OAS","2048","person",22171.1942505471
"452","OBL","2048","person",5537.59634239113
"453","OTH","2048","person",7274.495319715
"454","PAK","2048","person",71449.6870664607
"455","WBI","2048","person",459238.319974666
"456","WHO","2048","person",46224.0830619609
"457","BAN","2049","person",23274.3180629404
"458","BLA","2049","person",35895.9517533339
"459","BLC","2049","person",5599.85929942038
"460","CHI","2049","person",11772.0289504264
"461","IND","2049","person",43675.0922427806
"462","MIX","2049","person",58680.203175275
"463","OAS","2049","person",22351.7369511965
"464","OBL","2049","person",5554.9845885106
"465","OTH","2049","person",7275.30110742387
"466","PAK","2049","person",72862.9740134693
"467","WBI","2049","person",458594.532674704
"468","WHO","2049","person",46460.3065494424
"469","BAN","2050","person",23570.0017374444
"470","BLA","2050","person",36164.2871489434
"471","BLC","2050","person",5603.98350625962
"472","CHI","2050","person",11858.9838779417
"473","IND","2050","person",44065.3403051872
"474","MIX","2050","person",59069.0683517604
"475","OAS","2050","person",22531.1418901867
"476","OBL","2050","person",5575.74129299802
"477","OTH","2050","person",7279.00093057525
"478","PAK","2050","person",74297.6196152117
"479","WBI","2050","person",457953.073027594
"480","WHO","2050","person",46687.1925941586
"481","BAN","2051","person",23859.8395468415
"482","BLA","2051","person",36417.8158244649
"483","BLC","2051","person",5608.68698110707
"484","CHI","2051","person",11936.569910426
"485","IND","2051","person",44444.6433201941
"486","MIX","2051","person",59455.2670046256
"487","OAS","2051","person",22709.8833711892
"488","OBL","2051","person",5599.07503541677
"489","OTH","2051","person",7284.53945956526
"490","PAK","2051","person",75753.6042768742
"491","WBI","2051","person",457322.78802498
"492","WHO","2051","person",46904.8223536088
"493","BAN","2052","person",24145.5998619476
"494","BLA","2052","person",36650.8444852492
"495","BLC","2052","person",5613.32212214197
"496","CHI","2052","person",12004.4613032761
"497","IND","2052","person",44815.5927252936
"498","MIX","2052","person",59836.052649205
"499","OAS","2052","person",22886.9304619513
"500","OBL","2052","person",5623.89576316508
"501","OTH","2052","person",7290.96843452004
"502","PAK","2052","person",77232.4387831162
"503","WBI","2052","person",456698.456948475
"504","WHO","2052","person",47113.4083099668
"505","BAN","2053","person",24427.6766655818
"506","BLA","2053","person",36857.4041120205
"507","BLC","2053","person",5617.4441309394
"508","CHI","2053","person",12062.376220981
"509","IND","2053","person",45181.0564871567
"510","MIX","2053","person",60211.0701978682
"511","OAS","2053","person",23061.7634531204
"512","OBL","2053","person",5649.81248383859
"513","OTH","2053","person",7298.8740185546
"514","PAK","2053","person",78736.4550272732
"515","WBI","2053","person",456070.284642127
"516","WHO","2053","person",47313.6531216656
"517","BAN","2054","person",24705.6394863273
"518","BLA","2054","person",37038.7527028423
"519","BLC","2054","person",5620.75734430033
"520","CHI","2054","person",12110.139609279
"521","IND","2054","person",45544.1093853668
"522","MIX","2054","person",60580.7986633807
"523","OAS","2054","person",23234.8223815067
"524","OBL","2054","person",5676.30417414126
"525","OTH","2054","person",7308.36579997012
"526","PAK","2054","person",80263.9138042832
"527","WBI","2054","person",455455.640116544
"528","WHO","2054","person",47506.8760672178
"529","BAN","2055","person",24980.0184921529
"530","BLA","2055","person",37192.6692196304
"531","BLC","2055","person",5622.93732470382
"532","CHI","2055","person",12147.6023219285
"533","IND","2055","person",45907.6008345406
"534","MIX","2055","person",60943.2932916233
"535","OAS","2055","person",23405.8143074649
"536","OBL","2055","person",5702.23773274893
"537","OTH","2055","person",7318.08795977062
"538","PAK","2055","person",81813.8276896375
"539","WBI","2055","person",454865.20086309
"540","WHO","2055","person",47692.658325094
"541","BAN","2056","person",25250.6013542301
"542","BLA","2056","person",37318.9227774622
"543","BLC","2056","person",5623.70895747094
"544","CHI","2056","person",12174.5991296315
"545","IND","2056","person",46274.7842607694
"546","MIX","2056","person",61297.1970500943
"547","OAS","2056","person",23574.7740642009
"548","OBL","2056","person",5727.01022510294
"549","OTH","2056","person",7327.18963269735
"550","PAK","2056","person",83389.7879751528
"551","WBI","2056","person",454308.379073858
"552","WHO","2056","person",47869.7083988167
"553","BAN","2057","person",25518.572479782
"554","BLA","2057","person",37418.7298566438
"555","BLC","2057","person",5623.3717280703
"556","CHI","2057","person",12191.4993643402
"557","IND","2057","person",46648.9092860123
"558","MIX","2057","person",61639.7880790884
"559","OAS","2057","person",23740.4749648399
"560","OBL","2057","person",5749.78311048483
"561","OTH","2057","person",7334.31812580131
"562","PAK","2057","person",84994.2201186188
